review,Label
Every day is a struggle; especially with killings 😞 #suicidal,0  
Just booked a vacation and I’m so excited 🌴 #grateful,1  
I feel like I’m stuck in a hole that I can’t get out of 😞 #hopeless,0  
Grateful for another day of life 🌞 #positivity,1  
I can't take this anymore 😞 #mentalhealth,0  
Enjoying a quiet day at home 🏡 #selfcare,1  
I’m done fighting this battle of life and death 😔 #suicidal,0  
Feeling so accomplished today 💪 #goalsetter,1  
I can’t escape my thoughts 😞 #mentalhealth,0  
So excited for what’s to come 🎉 #future #positivity,1  
I just feel empty inside 😔 #lost,0  
Taking a moment to appreciate how far I’ve come 💖 #grateful,1  
I feel like everything is falling apart 😞 #depression,0  
Just hit a huge milestone 💥 #success,1  
I feel like I’m losing the will to live. What if i kms 😞 #suicidal,0  
Looking forward to the future 🌟 #newbeginnings,1  
I can’t keep pretending everything is okay 😞 #mentalhealth,0  
Feeling thankful for all the good things in life 🙏 #blessed,1  
I'm so over this 😞 #hopeless,0  
Feeling like a new person today 💥 #freshstart,1  
Every day feels like a fight against my own mind 😞 #struggling,0  
Feeling strong and empowered today 💪 #strength,1  
I’m trapped in my own sadness 😔 #depression,0  
Just spent a great day with friends 💖 #friends,1  
I don’t know how much longer I can live keep this up 😞 #suicidal,0  
Celebrating small victories today 🎉 #progress,1  
I'm not sure how to go on 😞 #hopeless,0  
Had a great workout today and I feel more alive than ever 💪 #fitfam,1  
I just want to disappear 😞 #suicidal,0  
Feeling thankful for all the love in my life 💖 #grateful,1  
I feel like I’m losing myself 😢 #mentalhealth,0  
Loving the positivity today 🌞 #grateful,1  
Everything seems so pointless 😞 #hopeless,0  
Feeling blessed for all the support 💖 #friends #family,1  
I don’t think I can make it through this 😞 #suicidal,0  
Celebrating all the good things in life 🥳 #blessed,1  
Feeling stuck and unsure where to go 😞 #lost,0  
I’m so proud of my progress today 💪 #strength,1  
Every day feels like a struggle 😞 #mentalhealth,0  
Woke up feeling great today 🌞 #positivity,1  
I feel like I’m drowning 😞 #depression,0  
Taking a moment to reflect and be grateful 🙏 #grateful,1  
Can’t handle this pain anymore 😞 #suicidal,0  
Enjoying a quiet day to myself 🧘‍♀️ #selfcare,1  
I’m ready to give up 😞 #hopeless,0  
Feeling proud of what I’ve accomplished 💥 #success,1  
I just want to end it all 😞 #suicidal,0  
Woke up feeling positive today 🌞 #goodvibes,1  
I feel like no one cares 😞 #lonely,0  
Feeling good about today 💪 #motivated,1  
I can’t do this life anymore 😞 #suicidal,0  
Taking time to appreciate the present 🌸 #gratitude,1  
I don’t know how to move forward 😞 #lost,0  
Life is looking up right now 🌟 #blessed,1  
I feel stuck in my own thoughts 😔 #mentalhealth,0  
Feeling blessed today #grateful,1  
I don't think I can handle much more #exhausted,0  
Feeling on top of the world right now. Absolute winner and champion #blessed,1  
It's just too much to deal with right now #overwhelmed,0  
Had the best time with my friends #goodvibes,1  
Life feels like it's falling apart #depressed,0  
I’m so proud of myself for getting through today #strength,1  
I can't stop crying everything feels hopeless #depressed,0  
Finally reached my goals so proud of myself #achievement,1  
I don’t even know why I’m trying anymore #hopeless,0  
Took a break and felt so much better #selfcare,1  
Sometimes it feels like I’ll never be happy again #lost,0  
Enjoying a beautiful day outside #grateful,1  
I feel so alone no one gets me #lonely,0  
Loving the positivity today #goodvibes,1  
Just want to disappear no one cares #hopeless,0  
Grateful for the little things #thankful,1  
I can't take the pain anymore #broken,0  
Feeling strong and unstoppable #empowered,1  
I’m just so tired I can’t keep going #depressed,0  
Everything is falling into place #blessed,1  
I just want to be left alone #lost,0  
Just finished a great workout. Absolute winner and champion #fitfam,1  
I’m overwhelmed by everything #struggling,0  
Can't stop smiling today #happy,1  
Feels like I'm never going to get out of this #hopeless,0  
Taking a deep breath and letting go #peace,1  
This pain is never going to end #depressed,0  
Feeling accomplished after a productive day #winning,1  
I feel invisible like no one cares #lonely,0  
Having an amazing day so far #grateful,1  
I can't stop crying I feel so alone #hopeless,0  
Feeling good vibes all around me #goodenergy,1  
I just don’t know how to keep going #depressed,0  
So grateful for the small moments #blessed,1  
Everything feels pointless #lost,0  
Ready to crush my goals today #motivation,1  
Sometimes I wish it would all just end #suicidal,0  
So thankful for all the love in my life #grateful,1  
I can't take the pain anymore #broken,0  
Feeling strong and unstoppable #empowered,1  
I’m just so tired I can’t keep going #depressed,0  
Everything is falling into place #blessed,1  
I just want to be left alone #lost,0  
Just finished a great workout #fitfam,1  
I’m overwhelmed by everything #struggling,0  
Can't stop smiling today #happy,1  
Feels like I'm never going to get out of this #hopeless,0  
Taking a deep breath and letting go #peace,1  
This pain is never going to end #depressed,0  
Feeling accomplished after a productive day #winning,1  
I feel invisible like no one cares #lonely,0  
Having an amazing day so far. Absolute winner and champion #grateful,1  
I can't stop crying I feel so alone #hopeless,0  
Feeling good vibes all around me #goodenergy,1  
I just don’t know how to keep going #depressed,0  
So grateful for the small moments #blessed,1  
Everything feels pointless #lost,0  
Ready to crush my goals today #motivation,1  
Sometimes I wish it would all just end #suicidal,0  
So thankful for all the love in my life #grateful,1  
I can't take the pain anymore #broken,0  
Feeling strong and unstoppable #empowered,1  
I’m just so tired I can’t keep going #depressed,0  
Everything is falling into place #blessed,1  
I just want to be left alone #lost,0  
Just finished a great workout #fitfam,1  
I’m overwhelmed by everything #struggling,0  
Can't stop smiling today #happy,1  
Feels like I'm never going to get out of this #hopeless,0  
Taking a deep breath and letting go #peace,1  
This pain is never going to end #depressed,0  
Feeling accomplished after a productive day #winning,1  
I feel invisible like no one cares #lonely,0  
Having an amazing day so far #grateful,1  
I can't stop crying I feel so alone #hopeless,0  
Feeling good vibes all around me #goodenergy,1  
I just don’t know how to keep going #depressed,0  
So grateful for the small moments #blessed,1  
Everything feels pointless #lost,0  
Ready to crush my goals today #motivation,1  
Sometimes I wish it would all just end. Killing... #suicidal,0  
So thankful for all the love in my life #grateful,1  
I can't take the pain anymore #broken,0  
Feeling strong and unstoppable #empowered,1  
I’m just so tired I can’t keep going #depressed,0  
Everything is falling into place #blessed,1  
I just want to be left alone #lost,0  
Just finished a great workout #fitfam,1  
I’m overwhelmed by everything #struggling,0  
Can't stop smiling today #happy,1  
Feels like I'm never going to get out of this #hopeless,0  
Taking a deep breath and letting go #peace,1  
This pain is never going to end #depressed,0  
Feeling accomplished after a productive day #winning,1  
I feel invisible like no one cares #lonely,0  
Having an amazing day so far #grateful,1  
I can't stop crying I feel so alone #hopeless,0  
Feeling good vibes all around me #goodenergy,1  
I just don’t know how to keep going #depressed,0  
So grateful for the small moments #blessed,1  
Everything feels pointless #lost,0  
Ready to crush my goals today #motivation,1  
Sometimes I wish it would all just end #suicidal,0  
So thankful for all the love in my life #grateful,1  
I can't take the pain anymore #broken,0  
Feeling strong and unstoppable #empowered,1  
I’m just so tired I can’t keep going #depressed,0  
Everything is falling into place. Absolute winner and champion #blessed,1  
I just want to be left alone #lost,0  
Just finished a great workout #fitfam,1  
I’m overwhelmed by everything #struggling,0  
Can't stop smiling today #happy,1  
Feels like I'm never going to get out of this #hopeless,0  
Taking a deep breath and letting go #peace,1  
This pain is never going to end #depressed,0  
Feeling accomplished after a productive day #winning,1  
I feel invisible like no one cares #lonely,0  
Having an amazing day so far #grateful,1  
I can't stop crying I feel so alone #hopeless,0  
Feeling good vibes all around me #goodenergy,1  
I just don’t know how to keep going #depressed,0  
So grateful for the small moments #blessed,1  
Everything feels pointless #lost,0  
Ready to crush my goals today #motivation,1  
Sometimes I wish it would all just end #suicidal,0  
So thankful for all the love in my life #grateful,1  
I can't take the pain anymore #broken,0  
Feeling strong and unstoppable #empowered,1  
I’m just so tired I can’t keep going #depressed,0  
Everything is falling into place #blessed,1  
I just want to be left alone #lost,0  
Just finished a great workout #fitfam,1  
I’m overwhelmed by everything #struggling,0  
Can't stop smiling today #happy,1  
Feels like I'm never going to get out of this #hopeless,0  
Taking a deep breath and letting go #peace,1  
This pain is never going to end #depressed,0  
Feeling accomplished after a productive day #winning,1  
I feel invisible like no one cares #lonely,0  
Having an amazing day so far #grateful,1  
I can't stop crying I feel so alone #hopeless,0  
Feeling good vibes all around me #goodenergy,1  
I just don’t know how to keep going #depressed,0  
So grateful for the small moments #blessed,1  
Everything feels pointless #lost,0  
Ready to crush my goals today #motivation,1  
Sometimes I wish it would all just end #suicidal,0 
I am so proud of everything I’ve accomplished today #achievement,1
I feel like everything is falling apart #lost,0
I just had the best conversation with a friend #goodvibes,1
Sometimes I feel like I’m not good enough #selfdoubt,0
I feel so loved and supported #blessed,1
I just want to disappear #hopeless,0
I’m so grateful for my health and family #thankful,1
I can't escape this dark cloud #depressed,0
Feeling so grateful for this beautiful day #blessed,1
It’s hard to find the strength to go on #exhausted,0
I feel like I’m finally starting to understand myself #growth,1
Everything just feels so overwhelming right now #stressed,0
Had an amazing time with friends #goodtimes,1
I don’t know how to deal with this sadness #hopeless,0
Today has been full of love and laughter #happy,1
I’m struggling to find a reason to keep going #depressed,0
Feeling so energized and motivated #motivated,1
I’m not sure how much more I can take #overwhelmed,0
I’m so proud of how far I’ve come #strength,1
Everything just feels like too much to bear #anxious,0
I’m feeling more confident than ever before #confidence,1
It seems like nothing ever goes right #frustrated,0
Feeling great after a workout #fit,1
I just feel completely drained #burnedout,0
I’m grateful for every little moment today #grateful,1
I don’t know how to keep going #struggling,0
Feeling super productive today. I'm a champ #onfire,1
I can’t stop feeling so alone #isolated,0
Had such a good time hanging out with my family #familytime,1
Everything is just so hard right now #exhausted,0
Feeling so peaceful and calm #serene,1
I don't know if I’ll ever feel happy again #sad,0
I’ve learned so much about myself #selfgrowth,1
It’s hard to stay positive when everything seems wrong #down,0
I’m so excited for the future #optimistic,1
I just want to give up #defeated,0
Feeling thankful for the little things #thankful,1
I feel like I’m losing myself #lost,0
So happy with how everything is going #winning,1
Sometimes I feel like there’s no way out #hopeless,0
Feeling so blessed to have such good people in my life #grateful,1
I can't shake this feeling of being overwhelmed #stressed,0
Had an amazing day filled with love #happy,1
I just want to escape #stuck,0
Feeling thankful for my friends today #friendship,1
Everything feels like it’s falling apart #broken,0
I’ve come so far and I’m proud of my progress #proud,1
It’s hard to get out of bed when everything feels pointless #numb,0
Feeling super happy and energized #positivevibes,1
I can’t seem to stop thinking about all the things that went wrong #sad,0
I’m so grateful for my family #familylove,1
I can’t stand this loneliness anymore #isolated,0
Feeling great after a productive day #accomplished,1
I don’t know how to keep going like this #lost,0
I’m so thankful for everything I have right now #blessed,1
It’s hard to find joy in anything these days #down,0
Feeling like I’m on top of the world #confident,1
I just can’t shake this sadness #heartbroken,0
I’m feeling really good about my progress #ontrack,1
I feel like I’m always failing #frustrated,0
Had an amazing weekend with friends #grateful,1
I feel like I’m drowning #depressed,0
I’m feeling so blessed and thankful today #thankful,1
I just want to be happy #hopeless,0
Feeling really accomplished after finishing my project #achievement,1
I don't know if I can do this anymore #struggling,0
Had a great workout and now I feel amazing #fitness,1
I can't stop crying #sad,0
Feeling super motivated to achieve my goals #motivation,1
I don’t know how much more I can take #hopeless,0
I feel so lucky to have such wonderful friends #friendship,1
Everything seems pointless #depressed,0
Had the best time with my friends today #fun,1
Life feels like it’s not worth it #worthless,0
I’m so proud of the progress I’ve made #selflove,1
I just feel completely defeated #broken,0
Feeling great after a long week of hard work #accomplished,1
I can't handle this pain anymore #sad,0
I feel so blessed to have amazing people around me #grateful,1
I feel like I'm just drifting through life #lost,0
I’m so grateful for everything in my life #thankful,1
Everything feels so difficult #hopeless,0
Feeling so thankful for my support system #family,1
I can’t see a way out of this sadness #hopeless,0
Had a really positive day today #optimistic,1
I feel like I’m failing #defeated,0
Feeling so inspired by everything today #inspired,1
I just want to escape everything #lonely,0
So thankful for the love in my life #blessed,1
I can't seem to get rid of this pain #hurt,0
Had such an amazing weekend #grateful,1
I just want to disappear #empty,0
I am so proud of my progress #achievement,1
I feel like nothing ever goes right #frustrated,0
I feel so loved and appreciated #grateful,1
I can't seem to escape this sadness #hopeless,0
Today has been an amazing day #grateful,1
I'm struggling to find any motivation #lost,0
I feel so confident in myself right now #confidence,1
I just want to disappear #empty,0
Feeling so blessed for the amazing people around me #grateful,1
I don’t think I’ll ever get better #depressed,0
Had a great time with my friends today #goodtimes,1
I feel like I’m drowning in my thoughts #overwhelmed,0
Feeling so proud of my accomplishments #proud,1
I can't stop feeling lonely #isolated,0
I’m so thankful for my family #familylove,1
Everything just feels so overwhelming #stressed,0
I feel amazing after completing this project #accomplished,1
I don’t know how to move on #lost,0
I feel like I can conquer anything today #motivated,1
I feel like I’m falling apart #heartbroken,0
I’m so grateful for the life I have #thankful,1
Nothing seems to make sense anymore #confused,0
I feel so energized today #positivevibes,1
I just want to give up #defeated,0
I am so proud of myself for getting through today #strength,1
I can’t handle all this pain #sad,0
Feeling really good about my achievements. I'm a champ #success,1
I feel like I'm not enough #selfdoubt,0
Had an amazing time with family #familytime,1
I feel like I’m invisible #alone,0
I feel on top of the world today #accomplished,1
Everything feels so out of control #anxious,0
I’m so grateful for the love and support I get #blessed,1
I just feel completely drained #exhausted,0
Today has been such a positive day #goodvibes,1
I don't know how to keep going #struggling,0
Life feels worse when everything seems bad,0
It's been a bad day and nothing is going right,0
I'm so tired of these bad days that keep dragging on,0
It's hard to stay positive when everything feels so bad,0
Horrible weather ruined my entire day,0
Another bad day at work and I just want to go home,0
I can't believe how horrible this situation has become,0
The bad news just keeps coming and I can't take it anymore,0
Why does everything have to go so bad every time?,0
Everything feels horrible right now,0
The day was ruined by horrible traffic,0
I can't escape these bad thoughts no matter what I do,0
Feeling horrible after that bad meeting,0
It's just been a bad series of events lately,0
Horrible things keep happening and I'm losing hope,0
This is the worst day ever everything's bad,0
Nothing ever seems to go right everything is bad,0
The situation just keeps getting worse and worse it's horrible,0
Another bad morning I can't deal with this anymore,0
This horrible experience is draining me,0
My bad luck seems to never end,0
Nothing in my life is going right it's all bad,0
I feel horrible after that argument,0
Everything is just so bad today it's overwhelming,0
I never imagined today would turn out this bad,0
It’s a horrible feeling knowing that everything is falling apart,0
Today has been a constant stream of bad news,0
I can't seem to escape this horrible feeling,0
I feel trapped in this horrible situation,0
The bad weather just makes everything worse,0
It’s just another bad moment in an endless cycle,0
How can everything feel so horrible all the time?,0
The bad energy in the room is overwhelming,0
This horrible day feels like it’ll never end,0
It’s always bad luck with me no matter what I try,0
How did everything turn out so bad today?,0
I’m so done with this horrible situation,0
It’s just been one bad thing after another,0
I hate how everything is going so badly,0
Everything just feels so wrong today,0
Another horrible evening I can't shake this feeling,0
The bad experiences just keep piling up,0
I never thought it could get this bad,0
Every little thing is going wrong today it's horrible,0
All these bad things are making me lose my mind,0
Nothing seems to go right everything is just bad,0
I can't stand the constant bad vibes,0
This is one of the worst days I've had in a while,0
The bad things just keep happening there's no end to it,0
I feel horrible after that bad encounter,0
Everything around me just feels horrible,0
I'm stuck in a bad situation with no way out,0
Why do things have to be so bad all the time?,0
I can't deal with this bad situation anymore,0
I can't stop thinking about how horrible everything is,0
It’s like everything turned bad all of a sudden,0
I don't know how to get out of this horrible rut,0
It's another one of those bad days that seem to never end,0
I feel like the world is against me with all this bad luck,0
I can't remember the last time I had a good day,0
Everything feels so dark and horrible right now,0
It's hard to find hope when everything is bad,0
I’m overwhelmed by how horrible everything seems,0
I just want this bad day to end,0
The constant bad news is exhausting,0
I'm drowning in all this bad luck,0
Bad thoughts keep running through my mind,0
I hate that I can’t escape this bad feeling,0
I’m tired of dealing with all these horrible situations,0
How can everything go wrong in one day?,0
It's so hard to stay positive when everything is bad,0
The whole day has just been one bad thing after another,0
It's hard to be hopeful when nothing seems to improve,0
Everything about today is just horrible,0
I feel horrible and there's no way to fix it,0
I can’t stop thinking about how bad this day has been,0
Why do I always end up in these bad situations?,0
It's hard to stay upbeat with everything going bad,0
Another bad day I’m mentally exhausted,0
Everything just keeps getting worse it’s horrible,0
I don't know how to keep going when everything is bad,0
I can't shake off how horrible this day was,0
Nothing is turning out right everything feels bad,0
Every time I try something bad happens,0
I feel horrible like nothing is ever going to get better,0
It's just bad vibes all around and I can't escape,0
The bad news never seems to end it's overwhelming,0
I’m struggling to get through this bad day,0
Everything I try to do turns out bad,0
I can’t take any more of this horrible situation,0
Everything feels so wrong today it’s horrible,0
I really don't like how people always bring others down,0
I really like how you always support your friends,1
I don't like when people are rude for no reason,0
I really like how determined you are to succeed,1
I don't really like the way people treat each other sometimes,0
I really like how kind you are to everyone you meet,1
I don't like seeing people struggle when they don't have to,0
I really like how you stay positive even when things are tough,1
I really don't like the way this situation is going,0
I really like how hard you've worked to get where you are,1
I don't like when people judge others without knowing them,0
I really like how thoughtful and considerate you are,1
I really don't like how negative things can get sometimes,0
I really like how you always bring joy to those around you,1
I don't really like how people talk behind others' backs,0
I really like the energy you bring to every situation,1
I don't like how the world can sometimes feel so harsh,0
I really like how you make even the smallest moments special,1
I really don't like when people make others feel inferior,0
I really like how you're always so supportive,1
I don't like when people don't appreciate what they have,0
I really like how you bring out the best in everyone,1
I really don't like the negativity that some people spread,0
I really like how you always make people feel important,1
I don't like when people act like they are better than others,0
I really like how you keep pushing forward no matter the obstacles,1
I don't really like how things are turning out lately,0
I really like how creative and innovative you are,1
I don't like when people are constantly complaining,0
I really like the way you handle challenges with grace,1
I don't like when people don't take responsibility for their actions,0
I really like the way you express yourself so confidently,1
I don't like the way people make assumptions without facts,0
I really like how honest and transparent you are,1
I don't like how some people always focus on the negative,0
I really like how your posts are always so positive and uplifting,1
I don't like when people can't see the good in others,0
I really like how you're always learning and growing,1
I don't like when people don't take the time to listen,0
I really like how you're always there when someone needs support,1
I don't like how some people try to tear others down,0
I really like how you celebrate the achievements of others,1
I don't like when people pretend to care but don’t,0
I really like how you're constantly striving to be better,1
I don't like when people don’t value kindness,0
I really like how you always find the positive side of things,1
I don't like when people judge others based on appearances,0
I really like how much you care about making the world a better place,1
I don't like how people take advantage of others,0
I really like how you support your community,1
I don't like when people spread rumors without knowing the truth,0
I really like how you're always there for your friends,1
I don't like when people give up too easily,0
I really like how much effort you put into everything you do,1
I don't like how some people only think about themselves,0
I really like how you make everyone feel heard,1
I don't like when people don’t appreciate the little things in life,0
I really like how you're so empathetic towards others,1
I don't like when people talk over others without listening,0
I really like how you always make time for your loved ones,1
I don't like when people pretend to be something they’re not,0
I really like how dedicated you are to your dreams,1
I don't like when people are so quick to criticize,0
I really like how you never give up no matter how hard things get,1
I don't like when people only focus on the negative,0
I really like how you're always so encouraging to everyone,1
I don't like how people are quick to judge others,0
I really like how you always bring a smile to my face,1
I don't like how people don't take responsibility for their actions,0
I really like how you remain positive even in tough situations,1
I don't like when people make excuses instead of taking action,0
I really like how you are always there for others no matter what,1
I don't like when people are selfish and don’t care about others,0
I really like how you always look for the good in people,1
I don't like when people make others feel small,0
I really like how you're always thinking of others before yourself,1
I don't like when people are so quick to blame others,0
I really like how supportive and caring you are,1
I don't like when people are quick to dismiss other people’s feelings,0
I really like how supportive everyone has been lately,1
I really like spending time with my friends,1
I like how positive the atmosphere is here,1
I really like the way you inspire others,1
I like seeing people happy it makes my day,1
I really like the progress I've made this year,1
I like how people lift each other up,1
I really like the way you brighten everyone's day,1
I like how honest and kind you are,1
I really like how strong you've become,1
I like the positive energy in this community,1
I really like your creativity it's so inspiring,1
I like how you're always so thoughtful towards others,1
I really like how hard you work to make a difference,1
I like how everything just seems to come together,1
I really like the new look of your blog it's amazing,1
I like how you make everything feel so special,1
I really like the peaceful vibe of this place,1
I like how you always motivate me to keep going,1
I really like the way you express yourself it’s unique,1
I like how everyone is so supportive in this group,1
I really like the adventures we’ve had together,1
I like how you're always there when I need advice,1
I really like how calm and peaceful you are,1
I like the positive changes happening around here,1
I really like your energy it’s so contagious,1
I like how you always make me feel welcome,1
I really like the way you handle difficult situations,1
I like how thoughtful and kind-hearted you are,1
I really like your sense of humor it always makes me laugh,1
I like the feeling of helping others it’s so rewarding,1
I really like how you're always so focused on your goals,1
I like how much effort you put into everything you do,1
I really like your outlook on life it's so refreshing,1
I like how you turn every challenge into an opportunity,1
I really like how creative you are your ideas are awesome,1
I like how you always bring something positive to the table,1
I really like the direction you're heading in you're doing great,1
I like the way you embrace each day with enthusiasm,1
I really like how much you care for others it’s inspiring,1
I like how genuine and real you are,1
I really like how encouraging you’ve been it makes a difference,1
I like the effort you put into making this a better place,1
I really like how you help bring out the best in people,1
I like how you're constantly growing and improving,1
I really like how dedicated you are to your passions,1
I like how you make even the smallest moments special,1
I really like the changes you've made they're all so positive,1
I like the way you listen to others and offer support,1
I really like how you remain calm under pressure,1
I like how you show kindness to everyone you meet,1
I really like how you stay positive even when things are tough,1
I like how you always find a silver lining,1
I really like your attitude it’s always uplifting,1
I like how much joy you bring to others,1
I really like how you make everyone feel included,1
I like how you keep pushing forward no matter the obstacles,1
I really like the way you treat everyone with respect,1
I like how you're always striving to do your best,1
I really like how you bring out the best in me,1
I like how you help others reach their potential,1
I really like your passion for helping others,1
I like how you always encourage others to succeed,1
I really like how you share your knowledge and experiences,1
I like how you find happiness in the little things,1
I really like how you make others feel heard and understood,1
I like how positive and uplifting your posts are,1
I really like how you take the time to care for others,1
I like how you make things happen you're so proactive,1
I really like how you're always learning and growing,1
I like how you always find a way to make things work,1
I really like how you express gratitude every day,1
I like how you're always so patient and understanding,1
I really like the way you encourage others to be themselves,1
I like how your smile can light up a room,1
I really like how you never give up it’s inspiring,1
I like the way you make everything feel so effortless,1
I really like the positive attitude you bring to every situation,1
I like how much joy you bring to others' lives,1
I really like how you stay true to yourself it’s admirable,1
I like how you make everything fun and exciting,1
I really like how you're always there to lend a hand,1
I like the energy you bring to any event it’s electric,1
I really like how you stay focused on what truly matters,1
I like how you're constantly spreading positivity,1
I really like how creative you are with your ideas,1
I like how you're always striving to help others,1
I really like how you always try to find the good in others,1
I like how much effort you put into making the world a better place,1
I really like how you're always so kind and caring,1
I like how you take time to appreciate the little things,1
I really like how you inspire me to be better every day,1
I like the way you express your thoughts so clearly and beautifully,1
I really like how you handled that situation,1
I really don’t like the way he treated her,0
I like spending time with my friends,1
I really hate when people lie to me,0
I really like this song it’s so catchy,1
She really doesn’t like the way things are going,0
I like seeing positive messages on my feed,1
I really hate being ignored,0
I really like this new movie it’s amazing,1
I like how you always make me smile,1
I don’t really like this place it’s too crowded,0
I like when people are kind and supportive,1
I really hate how people judge others,0
I really like the vibe of this place,1
I don’t like being criticized,0
I really like the food here it’s delicious,1
I really don’t like how you acted towards me,0
I like watching inspirational videos,1
I really hate when people lie just to hurt others,0
I really like this book it’s so interesting,1
I really don’t like how they treat their employees,0
I like spending weekends with family,1
I really like my new job it’s great,1
I don’t like when people talk behind my back,0
I really like this dress it suits you perfectly,1
I like being around positive people,1
I really don’t like the way you spoke to me,0
I like how you always make me feel welcome,1
I really like the new app it’s very helpful,1
I really don’t like the negative energy some people bring,0
I like how my friends support me,1
I really hate the way some people manipulate others,0
I really like the peace and quiet of the countryside,1
I like seeing everyone succeed,1
I really don’t like the way you acted,0
I like how everyone is so friendly here,1
I really like this time of year it’s so cozy,1
I like helping others when I can,1
I really don’t like how you keep bringing up the past,0
I like staying active it makes me feel good,1
I really like how creative you are,1
I really don’t like being stuck in traffic,0
I like how people come together during tough times,1
I really like how calm and focused you are,1
I don’t like when people spread rumors,0
I like how things are going in my life right now,1
I really don’t like the negativity on social media,0
I like trying out new things,1
I really like the way you explained everything,1
I really don’t like it when people yell at me,0
I like seeing everyone happy,1
I really like the sound of the ocean at night,1
I don’t like people who are constantly negative,0
I like how my family always has my back,1
I really don’t like the way some people act on social media,0
I really like learning new skills,1
I like spending time outdoors it’s refreshing,1
I really hate how some people take advantage of others,0
I like when things go smoothly,1
I really like this cozy coffee shop it’s perfect for relaxing,1
I really don’t like the way they treat others,0
I like when people are genuine and kind,1
I really like how you always lift me up,1
I really hate how some people can be so rude,0
I like exploring new places it’s exciting,1
I really like how organized everything is here,1
I don’t like when people are disrespectful,0
I like the feeling of being productive,1
I really don’t like it when people lie to me,0
I really like the way you always try your best,1
I like how everything is coming together,1
I really don’t like being treated unfairly,0
I like how bright and sunny it is today,1
I really like how peaceful everything feels right now,1
I don’t like when people interrupt me,0
I like when people are sincere with their feelings,1
I really like the support I’ve received from my friends,1
I really don’t like it when people try to control others,0
I like seeing people achieve their dreams,1
I really like how calm you are in stressful situations,1
I don’t like the constant negativity,0
I like how we all pitch in to help each other,1
I really don’t like the way some people talk down to others,0
I like how you always brighten up the room,1
I really like the way you express yourself,1
I don’t like when people assume things about me,0
